age_group,income_group,city_tier,purchase_frequency,preowned_willingness,auth_importance,discount_threshold,trust_score,max_spend,luxe_loop_interest
35-44,1L-2L,Tier 2,Never,Maybe,High,20-40%,4.71,202335,1
35-44,25-50K,Tier 2,Frequently,Maybe,Low,20-40%,1.94,76985,1
45+,1L-2L,Tier 2,Never,Definitely,Low,10-20%,2.6,213862,1
45+,25-50K,Tier 1,Never,No,High,10-20%,1.61,125253,0
45+,25-50K,Tier 2,Rarely,Maybe,Medium,40%+,4.97,94749,1
45+,1L-2L,Tier 2,Frequently,No,Medium,40%+,4.71,237105,1
35-44,2L+,Tier 1,Occasionally,Definitely,Low,10-20%,3.16,271075,1
18-24,25-50K,Tier 2,Rarely,No,High,40%+,4.37,171466,1
45+,25-50K,Tier 2,Rarely,No,Low,10-20%,3.08,123099,0
18-24,1L-2L,Tier 2,Rarely,Definitely,Low,20-40%,3.49,242559,1
25-34,25-50K,Tier 1,Frequently,Maybe,Medium,10-20%,1.36,116425,0
25-34,25-50K,Tier 1,Never,No,Medium,0%,4.02,97588,0
45+,1L-2L,Tier 2,Occasionally,No,Medium,10-20%,1.51,230464,1
25-34,1L-2L,Tier 2,Frequently,Maybe,Medium,10-20%,4.3,247307,1
18-24,<25K,Tier 1,Never,Maybe,Medium,0%,4.13,101465,0
18-24,2L+,Tier 2,Rarely,No,High,0%,3.83,300000,1
25-34,2L+,Tier 1,Frequently,Definitely,Low,0%,1.14,219717,0
45+,25-50K,Tier 2,Never,Maybe,High,0%,2.21,156593,0
18-24,2L+,Tier 1,Occasionally,Maybe,Low,10-20%,2.05,264751,1
18-24,25-50K,Tier 3,Occasionally,Definitely,Medium,40%+,2.44,130146,0
35-44,<25K,Tier 3,Never,No,High,0%,1.35,62589,0
45+,1L-2L,Tier 1,Frequently,Maybe,Low,20-40%,4.75,239015,1
35-44,1L-2L,Tier 3,Rarely,No,Medium,10-20%,3.22,220803,1
25-34,1L-2L,Tier 2,Never,No,Medium,40%+,2.22,228790,1
25-34,2L+,Tier 1,Rarely,No,High,20-40%,2.59,245556,1
35-44,<25K,Tier 1,Occasionally,Definitely,High,10-20%,2.79,92911,0
45+,2L+,Tier 2,Never,No,High,10-20%,3.4,275676,1
18-24,2L+,Tier 2,Occasionally,No,Medium,20-40%,3.06,257998,1
25-34,<25K,Tier 1,Rarely,Maybe,Low,0%,4.68,87799,0
45+,<25K,Tier 2,Rarely,Maybe,Low,0%,2.99,105042,0
45+,<25K,Tier 1,Never,Definitely,High,20-40%,4.97,88993,0
25-34,<25K,Tier 2,Never,Definitely,Low,40%+,4.41,101269,1
25-34,1L-2L,Tier 1,Never,Maybe,Medium,0%,1.83,203680,1
45+,50K-1L,Tier 2,Occasionally,Maybe,Low,10-20%,4.72,212358,1
18-24,50K-1L,Tier 2,Rarely,Definitely,Medium,10-20%,1.47,178410,0
35-44,<25K,Tier 3,Rarely,No,High,40%+,4.27,129672,0
25-34,50K-1L,Tier 3,Occasionally,Definitely,Low,10-20%,2.52,171688,1
35-44,50K-1L,Tier 3,Never,No,Medium,0%,4.51,208473,1
45+,<25K,Tier 2,Frequently,Maybe,High,40%+,4.47,96661,1
35-44,50K-1L,Tier 1,Never,Maybe,High,0%,4.22,218117,1
18-24,2L+,Tier 2,Frequently,Maybe,High,40%+,4.16,277223,1
45+,25-50K,Tier 3,Frequently,No,High,20-40%,2.22,137100,0
18-24,25-50K,Tier 2,Occasionally,Definitely,Low,10-20%,1.32,109306,0
45+,<25K,Tier 3,Rarely,No,Medium,40%+,2.61,74816,0
18-24,1L-2L,Tier 3,Rarely,Definitely,Low,20-40%,1.69,218735,1
45+,<25K,Tier 1,Rarely,Definitely,Medium,0%,3.78,92844,0
18-24,1L-2L,Tier 1,Rarely,Definitely,High,20-40%,2.38,221475,1
45+,25-50K,Tier 3,Occasionally,Maybe,Low,0%,4.9,153294,1
18-24,<25K,Tier 3,Frequently,Definitely,High,40%+,3.56,117162,0
45+,2L+,Tier 2,Rarely,Maybe,Medium,40%+,4.29,300000,1
18-24,50K-1L,Tier 3,Frequently,Definitely,High,10-20%,1.53,182683,1
25-34,1L-2L,Tier 2,Occasionally,Definitely,Low,10-20%,4.45,235389,1
35-44,50K-1L,Tier 3,Never,Maybe,Low,40%+,4.69,179115,1
45+,50K-1L,Tier 1,Occasionally,Maybe,Medium,0%,2.95,198606,1
18-24,<25K,Tier 1,Rarely,No,Medium,0%,3.43,101820,0
25-34,50K-1L,Tier 3,Never,Definitely,Low,40%+,4.06,220053,1
45+,2L+,Tier 2,Occasionally,Maybe,Low,0%,1.7,254920,1
45+,50K-1L,Tier 2,Occasionally,No,Low,40%+,3.01,175509,1
45+,<25K,Tier 2,Frequently,No,Low,10-20%,2.59,43110,0
35-44,2L+,Tier 3,Occasionally,Maybe,Medium,0%,1.59,258050,1
18-24,25-50K,Tier 3,Never,Definitely,Low,10-20%,2.47,144631,0
18-24,50K-1L,Tier 1,Occasionally,No,Medium,20-40%,1.27,153370,0
45+,<25K,Tier 1,Rarely,Definitely,Low,10-20%,1.1,73809,0
45+,25-50K,Tier 3,Frequently,Definitely,Low,20-40%,1.54,111589,0
45+,25-50K,Tier 1,Never,No,High,10-20%,4.85,154981,1
25-34,1L-2L,Tier 2,Never,Maybe,High,10-20%,3.2,209046,1
45+,2L+,Tier 2,Occasionally,Definitely,Low,0%,4.86,300000,1
35-44,50K-1L,Tier 3,Rarely,Maybe,Medium,10-20%,2.73,117477,0
18-24,<25K,Tier 2,Frequently,No,Low,40%+,2.25,68762,0
35-44,1L-2L,Tier 3,Never,Definitely,High,0%,3.02,197590,1
45+,2L+,Tier 2,Frequently,Maybe,Low,0%,2.76,300000,1
25-34,1L-2L,Tier 3,Occasionally,Maybe,High,0%,1.42,229748,1
45+,2L+,Tier 2,Rarely,Definitely,Low,10-20%,3.56,294933,1
45+,2L+,Tier 2,Occasionally,Maybe,Low,0%,1.86,299020,1
45+,50K-1L,Tier 1,Frequently,Maybe,Medium,20-40%,3.48,165821,1
45+,2L+,Tier 1,Occasionally,No,High,20-40%,3.6,300000,1
45+,1L-2L,Tier 1,Frequently,No,High,10-20%,1.61,234743,1
18-24,2L+,Tier 1,Never,Maybe,High,0%,1.25,257768,1
35-44,50K-1L,Tier 1,Never,Maybe,Medium,40%+,4.12,213912,1
25-34,50K-1L,Tier 1,Occasionally,Definitely,Low,40%+,2.84,156274,1
45+,1L-2L,Tier 3,Never,No,Medium,20-40%,1.23,195809,1
25-34,25-50K,Tier 3,Frequently,Definitely,Low,10-20%,4.98,137628,0
18-24,25-50K,Tier 1,Never,Maybe,Medium,10-20%,1.23,101720,0
35-44,2L+,Tier 3,Rarely,Definitely,Medium,10-20%,3.78,266668,1
45+,<25K,Tier 1,Rarely,Maybe,High,10-20%,4.93,123761,0
18-24,2L+,Tier 3,Occasionally,No,Medium,10-20%,1.96,264422,1
18-24,1L-2L,Tier 2,Occasionally,No,Low,0%,1.57,222750,0
35-44,1L-2L,Tier 3,Occasionally,Maybe,Medium,0%,1.49,203492,1
45+,1L-2L,Tier 3,Occasionally,No,Medium,0%,2.21,185687,1
35-44,1L-2L,Tier 3,Frequently,Maybe,Low,40%+,1.4,219401,1
35-44,1L-2L,Tier 2,Frequently,Definitely,High,0%,3.77,199454,1
25-34,50K-1L,Tier 1,Rarely,Maybe,Low,10-20%,1.25,161127,0
25-34,25-50K,Tier 3,Frequently,Definitely,Low,10-20%,3.04,103033,0
35-44,1L-2L,Tier 3,Never,Maybe,Low,40%+,4.99,289645,1
25-34,<25K,Tier 2,Rarely,No,Medium,40%+,4.26,110827,0
18-24,<25K,Tier 1,Occasionally,Maybe,Medium,20-40%,3.46,86715,0
35-44,<25K,Tier 3,Occasionally,Maybe,Low,40%+,2.23,97574,0
45+,<25K,Tier 2,Frequently,Maybe,Low,20-40%,3.5,68073,0
45+,50K-1L,Tier 1,Rarely,No,High,0%,3.11,191969,1
18-24,<25K,Tier 1,Frequently,Maybe,Medium,10-20%,2.7,80996,0
45+,1L-2L,Tier 3,Frequently,No,Medium,20-40%,1.52,220480,0
45+,2L+,Tier 3,Frequently,Maybe,Medium,20-40%,4.55,300000,1
35-44,<25K,Tier 3,Rarely,Definitely,Medium,20-40%,2.8,92649,0
18-24,50K-1L,Tier 3,Occasionally,Maybe,Low,40%+,1.78,173574,0
35-44,50K-1L,Tier 2,Never,Definitely,Low,40%+,2.47,141602,1
18-24,<25K,Tier 2,Occasionally,No,High,40%+,2.66,57399,0
35-44,2L+,Tier 3,Rarely,No,Medium,20-40%,4.31,290645,1
35-44,<25K,Tier 1,Occasionally,Maybe,Medium,0%,3.93,91167,0
25-34,50K-1L,Tier 3,Occasionally,No,Low,10-20%,4.08,168195,1
45+,25-50K,Tier 1,Never,Maybe,High,40%+,1.04,158633,1
18-24,1L-2L,Tier 1,Occasionally,No,Low,0%,2.66,256927,0
45+,50K-1L,Tier 1,Occasionally,Definitely,Medium,40%+,2.93,191342,1
25-34,<25K,Tier 2,Occasionally,No,Medium,40%+,1.08,62240,0
18-24,1L-2L,Tier 1,Frequently,Definitely,High,20-40%,2.04,216155,1
25-34,<25K,Tier 1,Rarely,Maybe,Low,20-40%,4.04,71361,0
45+,<25K,Tier 2,Rarely,Maybe,Medium,40%+,1.55,67049,0
35-44,25-50K,Tier 1,Never,Maybe,Medium,10-20%,3.14,136555,1
25-34,1L-2L,Tier 1,Frequently,Definitely,High,40%+,1.86,193764,1
25-34,1L-2L,Tier 3,Frequently,Maybe,Medium,10-20%,1.05,217183,1
35-44,25-50K,Tier 1,Occasionally,Maybe,Medium,0%,1.96,116494,0
45+,50K-1L,Tier 1,Rarely,Definitely,Low,40%+,4.9,160843,1
25-34,<25K,Tier 1,Never,No,High,10-20%,4.21,74892,0
45+,2L+,Tier 1,Frequently,Maybe,High,0%,4.84,290127,1
35-44,<25K,Tier 1,Occasionally,No,High,0%,2.95,117253,0
18-24,<25K,Tier 2,Never,No,Low,20-40%,1.44,75531,0
25-34,50K-1L,Tier 1,Frequently,Maybe,High,0%,3.19,155190,0
45+,<25K,Tier 1,Never,Maybe,Medium,20-40%,2.82,87920,0
35-44,25-50K,Tier 2,Frequently,Definitely,High,0%,4.38,112853,1
35-44,25-50K,Tier 2,Never,Definitely,Medium,0%,1.39,135553,0
25-34,1L-2L,Tier 1,Frequently,Maybe,High,10-20%,2.95,220077,1
18-24,2L+,Tier 1,Frequently,No,High,10-20%,1.6,264127,1
25-34,<25K,Tier 1,Never,Definitely,Low,20-40%,2.3,99515,0
45+,<25K,Tier 3,Frequently,Definitely,High,40%+,3.95,63756,0
35-44,50K-1L,Tier 3,Frequently,Maybe,High,10-20%,2.9,151057,1
18-24,25-50K,Tier 1,Frequently,Maybe,Low,0%,2.5,113328,0
45+,2L+,Tier 2,Never,Maybe,Medium,20-40%,2.58,296567,1
25-34,1L-2L,Tier 1,Never,Maybe,High,20-40%,2.84,198013,0
35-44,25-50K,Tier 2,Frequently,Definitely,High,20-40%,4.14,84756,1
25-34,1L-2L,Tier 2,Frequently,Definitely,Medium,0%,4.57,236676,1
18-24,50K-1L,Tier 2,Never,Definitely,Low,10-20%,4.82,209234,1
18-24,50K-1L,Tier 1,Occasionally,No,High,40%+,4.15,215505,1
18-24,<25K,Tier 1,Frequently,Definitely,Low,20-40%,2.26,63336,0
18-24,2L+,Tier 2,Occasionally,Definitely,Medium,0%,3.75,279271,1
18-24,1L-2L,Tier 3,Never,Maybe,Medium,10-20%,2.75,250578,0
25-34,25-50K,Tier 3,Frequently,Definitely,Low,10-20%,2.02,82805,1
18-24,50K-1L,Tier 3,Occasionally,Definitely,Medium,40%+,4.36,185829,0
18-24,<25K,Tier 2,Never,Definitely,Medium,20-40%,1.15,65308,0
35-44,<25K,Tier 1,Occasionally,Maybe,High,0%,4.61,105084,0
18-24,1L-2L,Tier 2,Rarely,Definitely,Low,10-20%,2.85,218303,1
35-44,50K-1L,Tier 3,Never,Definitely,High,0%,3.55,186188,1
35-44,2L+,Tier 1,Rarely,No,Low,10-20%,3.64,236633,1
35-44,50K-1L,Tier 2,Never,No,High,20-40%,4.58,182635,1
25-34,1L-2L,Tier 2,Never,No,Medium,20-40%,3.55,244570,1
25-34,1L-2L,Tier 3,Frequently,No,Low,40%+,3.46,214954,1
45+,50K-1L,Tier 2,Rarely,Maybe,Low,10-20%,1.27,163879,1
45+,1L-2L,Tier 1,Rarely,No,Low,0%,3.07,239637,1
35-44,50K-1L,Tier 3,Rarely,Definitely,Low,10-20%,1.6,159149,1
25-34,25-50K,Tier 3,Never,No,Medium,0%,3.95,142909,0
18-24,50K-1L,Tier 1,Rarely,Maybe,Medium,40%+,3.05,161245,1
45+,50K-1L,Tier 3,Rarely,No,Medium,10-20%,3.72,183067,1
25-34,1L-2L,Tier 2,Frequently,No,High,20-40%,1.17,223904,1
18-24,1L-2L,Tier 2,Occasionally,Maybe,Medium,0%,1.34,216539,0
18-24,<25K,Tier 3,Occasionally,Maybe,High,20-40%,3.87,76969,0
25-34,<25K,Tier 1,Rarely,Maybe,High,40%+,1.29,67384,0
45+,25-50K,Tier 2,Rarely,Maybe,Medium,40%+,1.29,127192,0
25-34,<25K,Tier 1,Rarely,Maybe,Medium,0%,1.05,19501,0
45+,50K-1L,Tier 2,Rarely,Maybe,Medium,10-20%,4.83,221481,0
35-44,1L-2L,Tier 2,Occasionally,Definitely,High,20-40%,3.95,232774,1
25-34,<25K,Tier 3,Frequently,No,Low,20-40%,2.41,82609,0
25-34,<25K,Tier 3,Never,No,Medium,0%,2.19,95844,0
45+,25-50K,Tier 1,Rarely,Maybe,High,0%,2.4,96566,0
45+,25-50K,Tier 3,Rarely,Maybe,High,0%,4.1,126811,1
25-34,50K-1L,Tier 2,Occasionally,Definitely,Medium,40%+,3.65,180729,1
18-24,1L-2L,Tier 2,Rarely,Definitely,High,40%+,1.74,201724,1
18-24,25-50K,Tier 1,Frequently,Maybe,Medium,20-40%,1.7,151698,0
18-24,<25K,Tier 1,Frequently,Definitely,High,10-20%,1.39,46764,0
35-44,1L-2L,Tier 2,Rarely,Definitely,Low,0%,3.64,225289,1
35-44,1L-2L,Tier 3,Occasionally,Maybe,High,40%+,4.06,244687,1
45+,<25K,Tier 3,Rarely,Maybe,Medium,10-20%,2.06,46557,0
35-44,25-50K,Tier 1,Rarely,Maybe,Low,0%,1.08,102886,0
18-24,<25K,Tier 1,Occasionally,Maybe,Medium,10-20%,1.33,69649,0
25-34,1L-2L,Tier 2,Frequently,No,High,0%,4.87,242042,1
35-44,2L+,Tier 2,Never,No,Low,10-20%,2.18,269932,1
35-44,2L+,Tier 1,Rarely,Maybe,Low,20-40%,4.08,280213,1
18-24,50K-1L,Tier 2,Frequently,Definitely,High,0%,3.5,154710,1
35-44,<25K,Tier 1,Rarely,Maybe,Low,0%,2.53,81731,0
45+,<25K,Tier 1,Never,No,Low,20-40%,1.82,103298,0
25-34,50K-1L,Tier 3,Occasionally,Definitely,Low,0%,1.49,165268,1
18-24,50K-1L,Tier 1,Frequently,No,Medium,0%,3.46,189105,1
45+,50K-1L,Tier 2,Never,Maybe,Medium,40%+,4.1,204854,1
18-24,1L-2L,Tier 3,Rarely,No,Low,20-40%,3.58,210413,1
45+,<25K,Tier 3,Never,No,High,40%+,3.12,115250,0
25-34,1L-2L,Tier 2,Frequently,No,High,20-40%,1.17,215746,1
25-34,50K-1L,Tier 2,Occasionally,Definitely,Medium,10-20%,4.87,231337,0
45+,<25K,Tier 2,Rarely,No,High,20-40%,4.19,77239,0
45+,1L-2L,Tier 1,Occasionally,Definitely,Low,20-40%,2.17,258061,1
45+,1L-2L,Tier 3,Occasionally,Maybe,High,40%+,4.92,264703,1
45+,50K-1L,Tier 1,Never,Maybe,Medium,0%,3.41,195160,1
45+,<25K,Tier 1,Never,No,Medium,20-40%,3.33,87980,0
45+,50K-1L,Tier 1,Frequently,Definitely,Low,0%,3.99,184929,1
25-34,<25K,Tier 1,Frequently,Maybe,Medium,20-40%,4.25,116510,0
45+,2L+,Tier 3,Occasionally,Definitely,Medium,40%+,3.63,289107,1
35-44,25-50K,Tier 3,Frequently,Definitely,Medium,20-40%,1.51,75758,0
25-34,25-50K,Tier 1,Occasionally,No,High,10-20%,2.35,101156,0
18-24,25-50K,Tier 2,Rarely,No,Medium,20-40%,4.71,143383,1
25-34,50K-1L,Tier 3,Occasionally,Definitely,High,20-40%,1.9,175199,1
18-24,2L+,Tier 1,Frequently,Definitely,Medium,0%,2.49,273768,1
18-24,<25K,Tier 2,Frequently,No,Medium,0%,2.73,101679,0
35-44,1L-2L,Tier 2,Occasionally,Definitely,High,10-20%,2.76,188577,1
45+,<25K,Tier 1,Never,No,High,20-40%,3.45,87371,0
45+,1L-2L,Tier 3,Occasionally,Definitely,Low,0%,4.77,211340,1
25-34,<25K,Tier 2,Occasionally,No,Low,20-40%,1.96,84794,0
45+,2L+,Tier 3,Never,Definitely,High,40%+,1.49,263010,1
35-44,1L-2L,Tier 3,Rarely,No,Medium,40%+,1.79,226292,1
25-34,50K-1L,Tier 2,Never,Definitely,Low,10-20%,4.55,178222,1
25-34,<25K,Tier 1,Frequently,Maybe,High,40%+,3.58,111389,0
25-34,<25K,Tier 2,Never,Maybe,High,0%,2.14,92234,0
45+,1L-2L,Tier 2,Frequently,Definitely,Medium,0%,4.26,254270,1
45+,50K-1L,Tier 3,Frequently,Maybe,High,10-20%,4.45,191909,1
45+,50K-1L,Tier 1,Occasionally,Definitely,Low,20-40%,4.39,205497,1
25-34,2L+,Tier 3,Occasionally,Definitely,Medium,0%,4.68,282662,1
25-34,50K-1L,Tier 2,Rarely,Maybe,High,40%+,2.01,187211,1
18-24,50K-1L,Tier 1,Frequently,Definitely,High,0%,4.02,223189,1
18-24,50K-1L,Tier 1,Occasionally,No,Medium,10-20%,2.84,199812,1
45+,25-50K,Tier 1,Frequently,Definitely,Medium,40%+,4.37,129107,1
25-34,2L+,Tier 1,Rarely,Definitely,Medium,40%+,3.91,296328,1
45+,<25K,Tier 1,Frequently,Maybe,Low,40%+,4.11,65237,0
45+,1L-2L,Tier 2,Rarely,No,Low,10-20%,3.62,247647,1
18-24,<25K,Tier 2,Rarely,Definitely,High,10-20%,1.71,76112,0
35-44,2L+,Tier 2,Rarely,Definitely,High,20-40%,3.18,244403,1
45+,1L-2L,Tier 3,Occasionally,Definitely,Medium,20-40%,4.94,226164,1
35-44,2L+,Tier 1,Never,Definitely,High,20-40%,4.75,291837,1
35-44,50K-1L,Tier 1,Never,Definitely,High,10-20%,1.17,155682,0
25-34,1L-2L,Tier 2,Occasionally,Definitely,Medium,40%+,1.66,192410,0
25-34,50K-1L,Tier 1,Frequently,No,Low,40%+,1.53,173079,0
45+,<25K,Tier 3,Occasionally,No,Low,0%,3.9,94029,0
18-24,<25K,Tier 1,Frequently,Definitely,Low,20-40%,4.27,88814,1
18-24,1L-2L,Tier 1,Rarely,Definitely,High,40%+,1.85,203384,1
45+,1L-2L,Tier 3,Occasionally,Maybe,Medium,40%+,3.02,251174,0
45+,2L+,Tier 2,Never,No,Low,40%+,4.36,300000,1
18-24,2L+,Tier 2,Frequently,No,High,40%+,3.93,279628,1
35-44,50K-1L,Tier 1,Occasionally,Definitely,Medium,10-20%,3.17,169456,1
45+,1L-2L,Tier 3,Occasionally,No,Low,20-40%,3.36,243424,1
35-44,<25K,Tier 2,Frequently,No,Low,40%+,3.03,73139,0
45+,2L+,Tier 2,Rarely,Maybe,Medium,40%+,2.19,269112,1
45+,2L+,Tier 2,Rarely,Maybe,High,40%+,3.26,297393,1
35-44,<25K,Tier 1,Rarely,No,High,40%+,3.76,49412,0
35-44,2L+,Tier 3,Rarely,No,Low,0%,4.49,300000,1
18-24,50K-1L,Tier 1,Frequently,No,Medium,40%+,3.55,186953,1
45+,1L-2L,Tier 2,Never,Definitely,High,40%+,4.04,232170,1
25-34,<25K,Tier 3,Occasionally,Maybe,Medium,40%+,1.64,64615,0
25-34,1L-2L,Tier 1,Occasionally,Definitely,Medium,0%,2.85,227748,1
45+,2L+,Tier 2,Rarely,Maybe,Low,10-20%,1.04,225775,1
45+,2L+,Tier 2,Frequently,Maybe,Medium,0%,1.99,299798,1
45+,<25K,Tier 1,Never,Maybe,Medium,40%+,3.91,89926,0
35-44,50K-1L,Tier 2,Never,No,Medium,10-20%,4.97,208560,1
25-34,25-50K,Tier 2,Occasionally,Maybe,High,40%+,1.4,133030,0
25-34,<25K,Tier 3,Rarely,Definitely,Low,10-20%,2.61,55676,0
25-34,25-50K,Tier 2,Occasionally,Maybe,Low,40%+,4.2,151469,0
45+,25-50K,Tier 1,Occasionally,Definitely,Medium,40%+,1.82,112847,0
35-44,50K-1L,Tier 3,Never,Maybe,Medium,10-20%,3.22,199135,1
45+,25-50K,Tier 1,Frequently,Maybe,High,10-20%,3.93,96755,1
18-24,25-50K,Tier 2,Never,No,Low,40%+,3.46,132618,1
18-24,50K-1L,Tier 3,Occasionally,Definitely,High,0%,1.75,155443,0
25-34,25-50K,Tier 3,Rarely,Maybe,Low,0%,2.42,132845,1
45+,25-50K,Tier 3,Rarely,Maybe,High,0%,4.14,150800,1
18-24,25-50K,Tier 3,Frequently,Definitely,Medium,0%,3.22,118047,0
18-24,<25K,Tier 1,Frequently,Maybe,High,10-20%,1.02,45956,0
45+,<25K,Tier 2,Frequently,No,Medium,10-20%,4.04,88186,0
35-44,<25K,Tier 2,Occasionally,Definitely,Low,0%,1.14,43467,0
45+,50K-1L,Tier 3,Occasionally,No,Low,20-40%,3.98,206639,1
45+,2L+,Tier 2,Frequently,Definitely,Medium,20-40%,1.81,260715,1
35-44,25-50K,Tier 1,Rarely,Definitely,Low,20-40%,4.83,90160,1
25-34,25-50K,Tier 2,Rarely,Definitely,High,40%+,2.47,117203,0
25-34,50K-1L,Tier 1,Rarely,Maybe,Medium,0%,2.31,152329,0
25-34,25-50K,Tier 1,Occasionally,Definitely,Low,40%+,1.6,83374,0
35-44,<25K,Tier 2,Never,Definitely,High,10-20%,2.22,47451,0
18-24,2L+,Tier 1,Rarely,Definitely,High,10-20%,4.51,297288,1
35-44,1L-2L,Tier 1,Rarely,No,Low,20-40%,4.99,276472,1
45+,25-50K,Tier 1,Rarely,Definitely,Low,20-40%,2.47,130963,0
35-44,<25K,Tier 1,Frequently,Maybe,High,10-20%,2.79,65769,0
18-24,1L-2L,Tier 3,Occasionally,Definitely,Medium,20-40%,3.89,248018,0
18-24,2L+,Tier 2,Frequently,Definitely,Low,20-40%,4.54,286218,1
45+,1L-2L,Tier 3,Frequently,No,Low,10-20%,3.37,219807,1
25-34,<25K,Tier 1,Never,Maybe,Medium,40%+,2.57,52612,0
18-24,1L-2L,Tier 2,Frequently,Maybe,Medium,20-40%,2.65,191463,1
18-24,50K-1L,Tier 1,Never,Maybe,Low,40%+,3.78,180001,1
18-24,1L-2L,Tier 2,Frequently,Definitely,Medium,20-40%,1.01,213261,1
45+,25-50K,Tier 3,Rarely,Definitely,High,0%,3.48,132867,0
18-24,25-50K,Tier 2,Occasionally,Maybe,High,40%+,2.42,115880,0
25-34,50K-1L,Tier 1,Frequently,Maybe,High,40%+,4.18,172885,1
